The Globe,"{""type"":""Point"",""coordinates"":[-0.309601218568299,51.4905264086845]}"
The Royal,"{""type"":""Point"",""coordinates"":[-0.32667935992928,51.4983082151487]}"
T J Duffy,"{""type"":""Point"",""coordinates"":[-0.314106000223573,51.4983629642391]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.31254490792283,51.4972189797911]}"
Players,"{""type"":""Point"",""coordinates"":[-0.315359060213391,51.5009457155916]}"
The Britannia,"{""type"":""Point"",""coordinates"":[-0.304996454421902,51.4608795776624]}"
The Richmond Arms,"{""type"":""Point"",""coordinates"":[-0.302408857245996,51.4615372696912]}"
Sun Inn,"{""type"":""Point"",""coordinates"":[-0.302260545392588,51.4641540076418]}"
The Red Cow,"{""type"":""Point"",""coordinates"":[-0.296808041112567,51.4617224694892]}"
The Triple Crown,"{""type"":""Point"",""coordinates"":[-0.301833845632631,51.4655445031317]}"
The Hope,"{""type"":""Point"",""coordinates"":[-0.299338056278762,51.4655136671178]}"
Shaftesbury Arms,"{""type"":""Point"",""coordinates"":[-0.29927140128468,51.4655338700258]}"
The Victoria,"{""type"":""Point"",""coordinates"":[-0.275573754258078,51.4609643153002]}"
The Plough,"{""type"":""Point"",""coordinates"":[-0.270930182891408,51.4608199142114]}"
Pig & Whistle,"{""type"":""Point"",""coordinates"":[-0.266835841489448,51.4649520115019]}"
The Hare and Hounds,"{""type"":""Point"",""coordinates"":[-0.264887754964306,51.4649587831981]}"
The Tapestry,"{""type"":""Point"",""coordinates"":[-0.268537879458269,51.469398001385]}"
Jolly Gardeners,"{""type"":""Point"",""coordinates"":[-0.268584052863873,51.4695692915087]}"
The Railway Tavern,"{""type"":""Point"",""coordinates"":[-0.266509932704369,51.4690973887409]}"
Charlie Butler,"{""type"":""Point"",""coordinates"":[-0.264659223556026,51.4696103092704]}"
The Ship,"{""type"":""Point"",""coordinates"":[-0.268039583970168,51.4711949767999]}"
Station House,"{""type"":""Point"",""coordinates"":[-0.269508419291232,51.4817177781564]}"
The Brewery Tap,"{""type"":""Point"",""coordinates"":[-0.306274038418977,51.4825005940248]}"
The Griffin,"{""type"":""Point"",""coordinates"":[-0.302964285586167,51.487059098025]}"
Royal Horse Guardsman,"{""type"":""Point"",""coordinates"":[-0.300044760912778,51.4863994803936]}"
The Royal Oak,"{""type"":""Point"",""coordinates"":[-0.304570922471815,51.4882663771878]}"
The Princess Royal,"{""type"":""Point"",""coordinates"":[-0.300988890276388,51.488059078503]}"
The New Inn,"{""type"":""Point"",""coordinates"":[-0.302054022708768,51.4892366858351]}"
The Greyhound,"{""type"":""Point"",""coordinates"":[-0.286152943864569,51.485273991373]}"
Ealing Park Tavern,"{""type"":""Point"",""coordinates"":[-0.30597687572299,51.4955764931739]}"
Roddy's Bar,"{""type"":""Point"",""coordinates"":[-0.306179445819559,51.4984744754618]}"
The Bell and Crown,"{""type"":""Point"",""coordinates"":[-0.283000216543423,51.4869373782573]}"
The Bull's Head,"{""type"":""Point"",""coordinates"":[-0.278322778690541,51.4846032157932]}"
The City Barge,"{""type"":""Point"",""coordinates"":[-0.279012325502631,51.4851033755529]}"
The Pilot,"{""type"":""Point"",""coordinates"":[-0.277860415813805,51.490301277543]}"
Globe Bar,"{""type"":""Point"",""coordinates"":[-0.278588320688527,51.4924341896725]}"
